Index:PostionX:PostionY:PostionZ:RotationAngleX:RotationAngleY:RotationAngleZ:PhotonTime
1:0:0:0:0:0:0:2338738,939
2:-0,0001897703:0,3999934:3,873617E-05:0:360:1:2338738,957
3:-6,214151E-05:0,4801089:0,0006957909:1:0:1:2338738,974
4:-0,0005259187:0,4959213:0,0001212159:1:0:1:2338738,991
5:-0,001768186:0,5016651:0,0004054882:360:360:1:2338739,007
6:-0,002976268:0,503652:0,004489225:360:0:1:2338739,041
7:-0,003721651:0,5030686:0,01101748:1:1:1:2338739,058
8:-0,002454021:0,5016137:0,01802009:1:1:1:2338739,075
9:-0,0003387216:0,5029236:0,02171942:1:1:360:2338739,092
10:0,0004387985:0,5053566:0,02444584:1:1:360:2338739,109
11:0,0003247308:0,5080391:0,02694993:2:1:360:2338739,142
12:7,903035E-05:0,5106951:0,0296159:2:1:360:2338739,159
13:-4,900379E-05:0,5133822:0,03239194:2:1:360:2338739,176
14:-7,001856E-05:0,5161454:0,03525135:2:1:360:2338739,193
15:-9,134389E-05:0,5189372:0,03839515:3:1:360:2338739,21
16:-0,0001018588:0,5218823:0,04161553:3:1:360:2338739,227
17:-0,000105083:0,5249823:0,04499231:4:1:360:2338739,26
18:-0,0005368122:0,5284405:0,04843507:4:1:1:2338739,277
19:-0,0008557606:0,5319296:0,05218656:4:1:1:2338739,293
20:-0,0009749357:0,5355266:0,05619506:5:1:1:2338739,31
21:-0,0009655372:0,5392833:0,0604576:5:1:1:2338739,327
22:-0,001107478:0,5431118:0,06519485:6:1:1:2338739,36
23:-0,001288004:0,5472856:0,07017603:6:1:1:2338739,377
24:-0,001389995:0,551708:0,07555019:7:1:1:2338739,393
25:-0,001407178:0,5563653:0,08137394:7:1:1:2338739,41
26:-0,001373702:0,5612807:0,0876835:8:1:1:2338739,427
27:-0,001456808:0,5664322:0,09455708:9:1:1:2338739,46
28:-0,001563433:0,5719573:0,1019446:10:1:1:2338739,477
29:-0,001605658:0,577782:0,1099791:10:1:1:2338739,494
30:-0,001577719:0,5839007:0,1187261:11:1:1:2338739,51
31:-0,001648697:0,5903121:0,128249:12:1:1:2338739,527
