Index:PostionX:PostionY:PostionZ:RotationAngleX:RotationAngleY:RotationAngleZ:PhotonTime
1:-4,185622E-21:0,3999934:8,88231E-18:0:0:1:2338739,889
2:3,516514E-06:0,4799985:3,871168E-06:0:1:1:2338739,889
3:-0,002378566:0,4979964:-0,0008377281:360:1:1:2338739,922
4:-0,006769268:0,5087182:-0,002737009:360:1:1:2338739,939
5:-0,01118422:0,5156971:-0,004682809:360:0:2:2338739,955
6:-0,01483759:0,520092:-0,005828842:360:360:2:2338739,973
7:-0,01738368:0,5224354:-0,005873669:360:360:2:2338739,99
8:-0,01883529:0,5227413:-0,004806453:360:360:3:2338740,023
9:-0,01921535:0,5209841:-0,002639017:360:360:3:2338740,039
10:-0,01799088:0,5180493:-0,0004344753:360:360:3:2338740,056
11:-0,01483417:0,5145115:0,0006337621:1:360:2:2338740,073
12:-0,01004117:0,5098852:0,0006818901:1:0:2:2338740,09
13:-0,003784573:0,5038604:0,0005374667:1:1:1:2338740,107
14:0,0007289252:0,5012908:-0,0002004852:360:1:360:2338740,141
15:0,001963213:0,5011602:-0,0009094237:360:1:360:2338740,158
16:0,001408787:0,5006128:-0,0007663041:360:1:360:2338740,175
17:0,0006379964:0,500139:-0,0001991219:360:1:360:2338740,192
18:0,000305184:0,5000312:0,0002020063:1:0:1:2338740,209
19:0,0002945678:0,5000088:0,0002676816:1:0:1:2338740,243
20:0,0003597512:0,5000012:0,0002010292:1:0:1:2338740,26
21:0,0003943102:0,5000002:0,0001400858:1:1:1:2338740,277
22:0,0003992774:0,5000002:0,0001175397:0:1:0:2338740,294
23:0,0003959206:0,5000002:0,0001192828:0:1:0:2338740,311
24:0,0003936715:0,5000001:0,0001263635:0:1:1:2338740,328
25:0,0003932561:0,5:0,000130219:1:1:1:2338740,362
26:0,0003936068:0,5:0,0001307939:1:1:1:2338740,378
27:0,0003939139:0,5:0,0001301989:1:1:1:2338740,396
28:0,0003939203:0,5:0,0001296981:1:1:1:2338740,413
29:0,0003938572:0,5:0,0001295571:1:1:1:2338740,43
30:0,0003938638:0,5:0,0001295896:1:1:1:2338740,446
31:0,0003938694:0,5:0,0001296525:1:1:1:2338740,48
32:0,0003938997:0,5:0,0001296901:1:1:1:2338740,497
33:0,0003938997:0,5:0,0001296901:1:1:1:2338740,514
34:0,0003938997:0,5:0,0001296901:1:1:1:2338740,531
35:0,0003938997:0,5:0,0001296901:1:1:1:2338740,548
36:0,0003938997:0,5:0,0001296901:1:1:1:2338740,582
37:0,0003938997:0,5:0,0001296901:1:1:1:2338740,599
38:0,0003938997:0,5:0,0001296901:1:1:1:2338740,616
39:0,0003938997:0,5:0,0001296901:1:1:1:2338740,633
40:0,0003938997:0,5:0,0001296901:1:1:1:2338740,65
41:0,0003938997:0,5:0,0001296901:1:1:1:2338740,666
42:0,0003938997:0,5:0,0001296901:1:1:1:2338740,7
43:0,0003938997:0,5:0,0001296901:1:1:1:2338740,717
44:0,0003938997:0,5:0,0001296901:1:1:1:2338740,736
45:0,0003938997:0,5:0,0001296901:1:1:1:2338740,751
46:0,0003938997:0,5:0,0001296901:1:1:1:2338740,767
47:0,0003938997:0,5:0,0001296901:1:1:1:2338740,801
48:0,0003938997:0,5:0,0001296901:1:1:1:2338740,817
49:0,0003938997:0,5:0,0001296901:1:1:1:2338740,834
50:0,0003938997:0,5:0,0001296901:1:1:1:2338740,851
51:0,0003938997:0,5:0,0001296901:1:1:1:2338740,868
52:0,0003938997:0,5:0,0001296901:1:1:1:2338740,901
53:0,0003938997:0,5:0,0001296901:1:1:1:2338740,918
54:0,0003938997:0,5:0,0001296901:1:1:1:2338740,935
55:0,0003938997:0,5:0,0001296901:1:1:1:2338740,951
56:0,0003938997:0,5:0,0001296901:1:1:1:2338740,968
57:0,0003938997:0,5:0,0001296901:1:1:1:2338741,001
58:0,0003938997:0,5:0,0001296901:1:1:1:2338741,019
59:0,0003938997:0,5:0,0001296901:1:1:1:2338741,035
60:0,0003938997:0,5:0,0001296901:1:1:1:2338741,052
61:0,0003938997:0,5:0,0001296901:1:1:1:2338741,069
62:0,0003938997:0,5:0,0001296901:1:1:1:2338741,102
63:0,0003938997:0,5:0,0001296901:1:1:1:2338741,119
64:0,0003938997:0,5:0,0001296901:1:1:1:2338741,136
65:0,0003938997:0,5:0,0001296901:1:1:1:2338741,152
66:0,0003938997:0,5:0,0001296901:1:1:1:2338741,169
67:0,0003938997:0,5:0,0001296901:1:1:1:2338741,202
68:0,0003938997:0,5:0,0001296901:1:1:1:2338741,219
69:0,0003938997:0,5:0,0001296901:1:1:1:2338741,236
70:0,0003938997:0,5:0,0001296901:1:1:1:2338741,253
71:0,0003938997:0,5:0,0001296901:1:1:1:2338741,27
72:0,0003938997:0,5:0,0001296901:1:1:1:2338741,287
73:0,0003938997:0,5:0,0001296901:1:1:1:2338741,321
74:0,0003938997:0,5:0,0001296901:1:1:1:2338741,338
75:0,0003938997:0,5:0,0001296901:1:1:1:2338741,355
76:0,0003938997:0,5:0,0001296901:1:1:1:2338741,372
77:0,0003938997:0,5:0,0001296901:1:1:1:2338741,389
78:0,0003938997:0,5:0,0001296901:1:1:1:2338741,406
79:0,0003938997:0,5:0,0001296901:1:1:1:2338741,44
80:0,0003938997:0,5:0,0001296901:1:1:1:2338741,457
81:0,0003938997:0,5:0,0001296901:1:1:1:2338741,473
82:0,0003938997:0,5:0,0001296901:1:1:1:2338741,49
83:0,0003938997:0,5:0,0001296901:1:1:1:2338741,511
84:0,009127254:0,5027816:0,1690354:2:1:359:2338741,541
85:-0,0007784418:0,5060188:0,3522503:2:360:360:2338741,558
86:-0,006246805:0,5068633:0,4529278:2:360:360:2338741,575
87:-0,004544167:0,5135132:0,5781046:2:360:360:2338741,592
88:-0,003867934:0,5232671:0,6948591:4:360:1:2338741,609
89:-0,003389518:0,535632:0,8037722:5:360:1:2338741,642
90:-0,002874776:0,5507237:0,9047035:7:360:1:2338741,659
91:-0,002351039:0,5690544:0,9970392:9:360:1:2338741,676
92:-0,00186932:0,5912182:1,080066:13:360:1:2338741,693
93:-0,001455302:0,6172913:1,153694:17:360:1:2338741,71
94:-0,001072271:0,6454883:1,220064:21:360:1:2338741,727
95:-0,000697818:0,67037:1,285704:26:360:1:2338741,761
96:-0,000387245:0,6911608:1,351544:31:359:360:2338741,778
97:-7,667195E-05:0,7080276:1,417384:36:359:360:2338741,795
98:0,0002339011:0,7209704:1,483225:41:359:360:2338741,812
99:0,0005444741:0,7299892:1,549065:46:359:360:2338741,829
100:0,0008550471:0,735084:1,614905:51:358:360:2338741,863
101:0,00116562:0,7362548:1,680746:56:358:360:2338741,879
102:0,001476193:0,7335016:1,746586:60:358:359:2338741,896
103:0,001786766:0,7268244:1,812427:65:357:359:2338741,913
104:0,002097339:0,7162232:1,878267:70:356:358:2338741,93
105:0,002407912:0,701698:1,944107:75:355:357:2338741,946
106:0,002718485:0,6832488:2,009948:80:353:355:2338741,98
107:0,003029058:0,6608756:2,075788:84:347:349:2338741,997
108:0,003339631:0,6345784:2,141628:89:309:311:2338742,014
109:0,003650205:0,6043572:2,207468:87:200:202:2338742,031
110:0,003960778:0,570212:2,273309:82:189:191:2338742,048
111:-0,006110212:0,5878361:2,306253:79:181:183:2338742,082
112:-0,01464249:0,6098287:2,33495:76:178:180:2338742,098
113:-0,02104374:0,6300551:2,36322:73:177:179:2338742,115
114:-0,02658242:0,6478515:2,39128:71:176:178:2338742,132
115:-0,03140879:0,6630614:2,419145:68:175:177:2338742,148
116:-0,03543314:0,6758681:2,446824:66:175:177:2338742,182
117:-0,03854569:0,6865414:2,474072:63:175:177:2338742,198
118:-0,04065016:0,6951793:2,501088:61:175:177:2338742,215
119:-0,04171938:0,701908:2,527741:59:175:177:2338742,232
120:-0,04168342:0,7067875:2,554199:57:176:178:2338742,248
121:-0,04055658:0,7098771:2,580375:55:176:178:2338742,297
122:-0,003282238:0,5356429:0,8437577:5:360:1:2338742,307
123:-0,004689069:0,5929855:0,9418494:15:360:1:2338742,307
124:-0,002640353:0,5921555:1,119432:13:360:1:2338742,34
125:-0,001554322:0,5912301:1,208048:13:360:1:2338742,357
126:-0,004067595:0,6690803:1,299224:28:360:1:2338742,374
127:-0,001307584:0,6756269:1,460554:28:360:1:2338742,391
128:-9,012804E-05:0,6704044:1,513655:26:360:1:2338742,408
129:-0,001293299:0,7059022:1,634909:39:359:360:2338742,441
130:0,0007433105:0,7081043:1,741283:36:359:360:2338742,46
131:0,001221754:0,7113365:1,877037:51:359:360:2338742,475
132:0,00187383:0,7317858:2,056606:51:359:360:2338742,491
133:0,001983233:0,7352167:2,086733:51:359:360:2338742,508
134:0,002420483:0,7307028:2,254417:60:358:360:2338742,542
135:0,002809848:0,7336717:2,382366:60:358:360:2338742,559
136:0,00328889:0,7141821:2,550739:75:355:357:2338742,576
137:0,003944567:0,7036189:2,775719:75:355:357:2338742,593
138:0,00404977:0,7019241:2,811817:75:355:357:2338742,61
139:0,004545369:0,6743286:3,005861:85:348:350:2338742,627
140:0,004876385:0,661139:3,12745:85:348:350:2338742,66
141:0,005388947:0,623135:3,333647:86:199:201:2338742,677
142:0,005703:0,6046579:3,455084:86:199:201:2338742,696
143:-0,01124654:0,5895575:3,652066:78:178:180:2338742,712
144:-0,00713257:0,619699:3,716494:74:179:182:2338742,729
145:-0,01890111:0,6956602:3,823988:58:177:179:2338742,763
146:-0,03343646:0,7235547:3,888803:58:176:178:2338742,779
147:-0,04895176:0,7722633:4,01384:42:175:176:2338742,796
148:-0,05952111:0,8107908:4,090843:42:175:176:2338742,813
149:-0,0759175:0,852845:4,221843:26:174:176:2338742,83
150:-0,08560576:0,882331:4,296884:26:174:176:2338742,846
151:-0,1010491:0,9121918:4,440341:10:174:175:2338742,88
152:-0,1116904:0,9381752:4,530923:10:174:175:2338742,897
153:-0,1277526:0,9598818:4,685502:355:174:174:2338742,914
154:-0,137775:0,9783233:4,776964:355:174:174:2338742,931
155:-0,1538473:0,9903774:4,941494:339:174:173:2338742,948
156:-0,1638597:1,002776:5,039004:339:174:173:2338742,987
157:-0,1799517:1,005171:5,213596:323:175:173:2338742,999
158:-0,1899443:1,011532:5,317044:323:175:173:2338743,016
159:-0,2058117:1,004236:5,501477:308:176:171:2338743,032
160:-0,2160289:1,004592:5,615084:308:176:171:2338743,049
161:-0,2321765:0,9875897:5,810061:292:179:168:2338743,083
162:-0,2421136:0,9819562:5,925124:292:179:168:2338743,099
163:-0,2582925:0,9552008:6,130388:277:195:151:2338743,116
164:-0,2681982:0,9436244:6,251165:277:195:151:2338743,133
165:-0,2846252:0,9066944:6,463009:281:338:8:2338743,15
166:-0,2942829:0,8895966:6,585205:281:338:8:2338743,167
167:-0,3103046:0,8437433:6,805749:296:346:360:2338743,201
168:-0,3203675:0,8198728:6,939244:296:346:360:2338743,218
169:-0,3180354:0,8089907:7,106376:325:194:172:2338743,235
170:-0,3258698:0,8062318:7,239792:325:194:172:2338743,252
171:-0,3331712:0,8036606:7,364132:325:194:172:2338743,269
172:-0,3407408:0,8009949:7,49304:325:194:172:2338743,302
173:-0,3492848:0,7979861:7,638539:325:194:172:2338743,319
174:-0,3596795:0,7943256:7,815558:325:194:172:2338743,336
175:-0,3732394:0,7895505:8,046476:325:194:172:2338743,353
176:-0,3921119:0,7829045:8,367867:325:194:172:2338743,37
177:-0,4198089:0,7731509:8,839536:325:194:172:2338743,387
178:-0,4611072:0,7586076:9,54283:325:194:172:2338743,423
