Index:PostionX:PostionZ:RotationAngle:PhotonTime
1:0:0,085:0:553944,741
2:0:0,17:0:553944,767
3:0:0,255:0:553944,784
4:0:0,34:0:553944,801
5:0:0,425:0:553944,835
6:0:0,51:0:553944,852
7:0:0,595:0:553944,868
8:0:0,6799999:0:553944,885
9:0:0,7649999:0:553944,902
10:0:0,8499999:0:553944,919
11:0:0,9349999:0:553944,953
12:0:1,02:0:553944,969
13:0:1,105:0:553944,986
14:0:1,19:0:553945,003
15:0:1,275:0:553945,02
16:0:1,36:0:553945,054
17:0:1,445:0:553945,071
18:0:1,53:0:553945,088
19:0:1,615:0:553945,105
20:0:1,7:0:553945,121
21:0:1,785:0:553945,155
22:0:1,87:0:553945,172
23:0:1,955:0:553945,188
24:0:2,04:0:553945,205
25:0:2,125:0:553945,222
26:0:2,21:0:553945,239
27:0:2,295:0:553945,273
28:0:2,38:0:553945,29
29:0:2,465:0:553945,307
30:0:2,55:0:553945,323
31:0:2,635:0:553945,34
32:0:2,720001:0:553945,374
33:0:2,805001:0:553945,39
34:0:2,890001:0:553945,407
35:0:2,975001:0:553945,424
36:0:3,060001:0:553945,441
37:0:3,145001:0:553945,475
38:0:3,230001:0:553945,492
39:0:3,315001:0:553945,509
40:0:3,400001:0:553945,526
41:0:3,485001:0:553945,543
42:0:3,570001:0:553945,559
43:0:3,655001:0:553945,593
44:0:3,740001:0:553945,609
45:0:3,825001:0:553945,626
46:0:3,910001:0:553945,643
47:0:3,995001:0:553945,66
48:0:4,080001:0:553945,728
49:0:4,165001:0:553945,739
50:0:4,250001:0:553945,739
51:0:4,335001:0:553945,754
52:0:4,420001:0:553945,771
53:0:4,505001:0:553945,788
54:0:4,590001:0:553945,804
55:0:4,675001:0:553945,821
56:0:4,760001:0:553945,855
57:0:4,845001:0:553945,871
58:0:4,930001:0:553945,888
59:0:5,015001:0:553945,905
60:0:5,100001:0:553945,921
61:0:5,185001:0:553945,955
62:0:5,270001:0:553945,972
63:0:5,355001:0:553945,989
64:0:5,440001:0:553946,006
65:0:5,525002:0:553946,022
66:0:5,610002:0:553946,039
67:0:5,695002:0:553946,073
68:0:5,780002:0:553946,089
69:0:5,865002:0:553946,106
70:0:5,950002:0:553946,123
71:0:6,035002:0:553946,14
72:0:6,120002:0:553946,173
73:0:6,205002:0:553946,19
74:0:6,290002:0:553946,207
75:0:6,375002:0:553946,224
76:0:6,460002:0:553946,241
77:0:6,545002:0:553946,274
78:0:6,630002:0:553946,291
79:0:6,715002:0:553946,308
80:0:6,800002:0:553946,324
81:0:6,885002:0:553946,341
82:0:6,970002:0:553946,374
83:0:7,055002:0:553946,391
84:0:7,140002:0:553946,408
85:0:7,225002:0:553946,425
86:0:7,310002:0:553946,442
87:0:7,395002:0:553946,459
88:0:7,480002:0:553946,493
89:0:7,565002:0:553946,51
90:0:7,650002:0:553946,526
91:0:7,735003:0:553946,543
92:0:7,820003:0:553946,56
93:0:7,905003:0:553946,593
94:0:7,990003:0:553946,61
95:0:8,075003:0:553946,627
96:0:8,160003:0:553946,643
97:0:8,245003:0:553946,66
98:0:8,330003:0:553946,693
99:0:8,415003:0:553946,71
100:0:8,500003:0:553946,727
101:0:8,585003:0:553946,744
102:0:8,670003:0:553946,761
103:0:8,755003:0:553946,794
104:0:8,840003:0:553946,811
105:0:8,925003:0:553946,827
106:0:9,010003:0:553946,844
107:0:9,095003:0:553946,861
108:0:9,180003:0:553946,895
109:0:9,265003:0:553946,912
110:0:9,350003:0:553946,929
111:0:9,435003:0:553946,945
112:0:9,520003:0:553946,962
113:0:9,605003:0:553946,996
114:0:9,690003:0:553947,012
115:0:9,775003:0:553947,029
116:0:9,860003:0:553947,046
117:0:9,945004:0:553947,063
118:0:10,03:0:553947,079
119:0:10,115:0:553947,113
120:0:10,2:0:553947,13
121:0:10,285:0:553947,146
122:0:10,37:0:553947,163
123:0:10,455:0:553947,18
124:0:10,54:0:553947,214
125:0:10,625:0:553947,231
126:0:10,71:0:553947,247
127:0:10,795:0:553947,264
128:0:10,88:0:553947,281
129:0:10,965:0:553947,315
130:0:11,05:0:553947,331
131:0:11,135:0:553947,348
132:0:11,22:0:553947,365
133:0:11,305:0:553947,382
134:0:11,39:0:553947,427
135:0:11,475:0:553947,434
136:0:11,56:0:553947,451
137:0:11,645:0:553947,468
138:0:11,73:0:553947,485
139:0:11,815:0:553947,502
140:0:11,9:0:553947,535
141:0:11,985:0:553947,552
142:0:12,07:0:553947,569
143:0:12,155:0:553947,585
144:0:12,24:0:553947,602
145:0:12,325:0:553947,636
146:0:12,41:0:553947,653
147:0:12,495:0:553947,67
148:0:12,58:0:553947,687
149:0:12,665:0:553947,703
150:0:12,75:0:553947,72
151:-0,085:12,75:270:553947,753
152:-0,17:12,75:270:553947,771
153:-0,255:12,75:270:553947,788
154:-0,34:12,75:270:553947,804
155:-0,425:12,75:270:553947,822
156:-0,51:12,75:270:553947,855
157:-0,595:12,75:270:553947,872
158:-0,6799999:12,75:270:553947,889
159:-0,7649999:12,75:270:553947,905
160:-0,8499999:12,75:270:553947,923
161:-0,9349999:12,75:270:553947,939
162:-1,02:12,75:270:553947,974
163:-1,105:12,75:270:553947,99
164:-1,19:12,75:270:553948,007
165:-1,275:12,75:270:553948,024
166:-1,36:12,75:270:553948,041
167:-1,445:12,75:270:553948,074
168:-1,53:12,75:270:553948,092
169:-1,615:12,75:270:553948,109
170:-1,7:12,75:270:553948,126
171:-1,785:12,75:270:553948,143
172:-1,87:12,75:270:553948,16
173:-1,955:12,75:270:553948,193
174:-2,04:12,75:270:553948,21
175:-2,125:12,75:270:553948,392
176:-2,21:12,75:270:553948,401
177:-2,295:12,75:270:553948,401
178:-2,38:12,75:270:553948,401
179:-2,465:12,75:270:553948,401
180:-2,55:12,75:270:553948,401
181:-2,635:12,75:270:553948,401
182:-2,720001:12,75:270:553948,401
183:-2,805001:12,75:270:553948,401
184:-2,890001:12,75:270:553948,401
185:-2,975001:12,75:270:553948,438
186:-3,060001:12,75:270:553948,453
187:-3,145001:12,75:270:553948,472
188:-3,230001:12,75:270:553948,486
189:-3,315001:12,75:270:553948,503
190:-3,400001:12,75:270:553948,52
191:-3,485001:12,75:270:553948,557
192:-3,570001:12,75:270:553948,57
193:-3,655001:12,75:270:553948,588
194:-3,740001:12,75:270:553948,604
195:-3,825001:12,75:270:553948,621
196:-3,910001:12,75:270:553948,654
197:-4,080001:12,75:270:553948,67
198:-4,165001:12,75:270:553948,686
199:-4,250001:12,75:270:553948,706
200:-4,335001:12,75:270:553948,722
201:-4,250001:12,75:270:553948,757
202:-4,165001:12,75:270:553948,771
203:-4,080001:12,75:270:553948,79
204:-3,995001:12,75:270:553948,806
205:-3,910001:12,75:270:553948,822
206:-3,825001:12,75:270:553948,841
207:-3,740001:12,75:270:553948,873
208:-3,655001:12,75:270:553948,89
209:-3,570001:12,75:270:553948,906
210:-3,485001:12,75:270:553948,923
211:-3,400001:12,75:270:553948,939
212:-3,315001:12,75:270:553948,973
213:-3,23:12,75:270:553948,99
214:-3,145:12,75:270:553949,007
215:-3,06:12,75:270:553949,024
216:-2,975:12,75:270:553949,04
217:-2,89:12,75:270:553949,074
218:-2,805:12,75:270:553949,091
219:-2,72:12,75:270:553949,108
220:-2,635:12,75:270:553949,124
221:-2,55:12,75:270:553949,141
222:-2,465:12,75:270:553949,176
223:-2,38:12,75:270:553949,193
224:-2,295:12,75:270:553949,209
225:-2,21:12,75:270:553949,226
226:-2,125:12,75:270:553949,243
227:-2,04:12,75:270:553949,259
228:-1,955:12,75:270:553949,321
229:-1,87:12,75:270:553949,327
230:-1,785:12,75:270:553949,327
231:-1,7:12,75:270:553949,346
232:-1,615:12,75:270:553949,36
233:-1,53:12,75:270:553949,402
234:-1,445:12,75:270:553949,411
235:-1,36:12,75:270:553949,43
236:-1,275:12,75:270:553949,444
237:-1,19:12,75:270:553949,461
