Index:PostionX:PostionZ:RotationAngle:PhotonTime
125:0:0:0:3262191,887
126:0:0,085:0:3262191,894
127:0:0,17:0:3262191,894
128:0:0,255:0:3262191,928
129:0:0,34:0:3262191,945
130:0:0,425:0:3262191,961
131:0:0,51:0:3262191,978
132:0:0,595:0:3262191,995
133:0:0,6799999:0:3262192,029
134:0:0,7649999:0:3262192,046
135:0:0,8499999:0:3262192,063
136:0:0,9349999:0:3262192,08
137:0:1,02:0:3262192,097
138:0:1,105:0:3262192,114
139:0:1,19:0:3262192,148
140:0:1,275:0:3262192,165
141:0:1,36:0:3262192,182
142:0:1,445:0:3262192,199
143:0:1,53:0:3262192,215
144:0:1,615:0:3262192,249
145:0:1,7:0:3262192,266
146:0:1,785:0:3262192,283
147:0:1,87:0:3262192,3
148:0:1,955:0:3262192,317
149:0:2,04:0:3262192,334
150:0:2,125:0:3262192,368
166:0:3,442501:0:3262192,744
167:0:4,760001:0:3262192,751
168:0:6,077501:0:3262192,751
169:0:7,395001:0:3262192,751
170:0:7,480001:0:3262192,77
171:0:7,565001:0:3262192,785
172:0:7,650002:0:3262192,802
173:0:7,735002:0:3262192,819
174:0:7,820002:0:3262192,836
175:0:7,905002:0:3262192,853
176:0:7,990002:0:3262192,887
177:0:8,075002:0:3262192,903
178:0:8,160002:0:3262192,92
179:0:8,245002:0:3262192,937
180:0:8,330002:0:3262192,954
181:0:8,415002:0:3262192,987
182:0:8,500002:0:3262193,004
183:0:8,585002:0:3262193,021
184:0:8,670002:0:3262193,037
185:0:8,755002:0:3262193,054
186:0:8,840002:0:3262193,088
187:0:8,925002:0:3262193,104
188:0:9,010002:0:3262193,121
189:0:9,095002:0:3262193,138
190:0:9,180002:0:3262193,155
191:0:9,265002:0:3262193,2
192:0:9,350002:0:3262193,206
193:0:9,435002:0:3262193,223
194:0:9,520002:0:3262193,24
195:0:9,605002:0:3262193,257
196:0:9,690002:0:3262193,274
197:0:9,775002:0:3262193,308
198:0:9,860003:0:3262193,324
199:0:9,945003:0:3262193,341
200:0:10,03:0:3262193,358
201:0:10,115:0:3262193,375
202:0:10,2:0:3262193,408
203:0:10,285:0:3262193,425
204:0:10,37:0:3262193,442
205:0:10,455:0:3262193,459
206:0:10,54:0:3262193,476
207:0:10,625:0:3262193,493
208:0:10,71:0:3262193,526
209:0:10,795:0:3262193,543
210:0:10,88:0:3262193,56
211:0:10,965:0:3262193,577
212:0:11,05:0:3262193,625
213:0:11,135:0:3262193,632
214:0:11,22:0:3262193,649
215:0:11,305:0:3262193,666
216:0:11,39:0:3262193,683
217:0:11,475:0:3262193,7
218:0:11,56:0:3262193,716
219:0:11,645:0:3262193,733
220:0:11,73:0:3262193,767
221:0:11,815:0:3262193,784
222:0:11,9:0:3262193,801
223:0:11,985:0:3262193,818
224:0:12,07:0:3262193,835
225:0:12,155:0:3262193,869
226:0:12,24:0:3262193,886
227:0:12,325:0:3262193,903
228:0:12,41:0:3262193,92
229:0:12,495:0:3262193,937
230:0:12,58:0:3262193,954
231:0:12,665:0:3262193,988
232:0:12,75:0:3262194,005
294:-0,2975:12,72875:0:3262195,308
295:-0,595:12,7075:0:3262195,316
296:-0,8924999:12,68625:0:3262195,316
297:-1,19:12,665:0:3262195,316
298:-1,275:12,665:0:3262195,316
299:-1,36:12,665:0:3262195,333
300:-1,445:12,665:0:3262195,366
301:-1,53:12,665:0:3262195,383
302:-1,615:12,665:0:3262195,4
303:-1,7:12,665:0:3262195,416
304:-1,785:12,665:0:3262195,433
305:-1,87:12,665:0:3262195,467
306:-1,955:12,665:0:3262195,484
307:-2,04:12,665:0:3262195,501
308:-2,125:12,665:0:3262195,517
309:-2,21:12,665:0:3262195,534
310:-2,295:12,665:0:3262195,568
311:-2,38:12,665:0:3262195,585
312:-2,465:12,665:0:3262195,601
313:-2,55:12,665:0:3262195,618
314:-2,635:12,665:0:3262195,635
315:-2,720001:12,665:0:3262195,669
316:-2,805001:12,665:0:3262195,686
317:-2,890001:12,665:0:3262195,703
318:-2,975001:12,665:0:3262195,72
319:-3,060001:12,665:0:3262195,737
320:-3,145001:12,665:0:3262195,754
321:-3,230001:12,665:0:3262195,788
322:-3,315001:12,665:0:3262195,805
323:-3,400001:12,665:0:3262195,821
324:-3,485001:12,665:0:3262195,838
325:-3,570001:12,665:0:3262195,855
326:-3,655001:12,665:0:3262195,889
327:-3,740001:12,665:0:3262195,906
328:-3,825001:12,665:0:3262195,923
329:-3,910001:12,665:0:3262195,94
330:-3,995001:12,665:0:3262195,957
331:-4,080001:12,665:0:3262195,974
332:-4,165001:12,665:0:3262196,008
333:-4,250001:12,665:0:3262196,06
334:-4,335001:12,665:0:3262196,067
335:-4,420001:12,665:0:3262196,067
336:-4,505001:12,665:0:3262196,084
337:-4,590001:12,665:0:3262196,101
338:-4,675001:12,665:0:3262196,118
339:-4,760001:12,665:0:3262196,135
340:-4,845001:12,665:0:3262196,168
341:-4,930001:12,665:0:3262196,185
342:-5,015001:12,665:0:3262196,201
343:-5,100001:12,665:0:3262196,218
344:-5,185001:12,665:0:3262196,235
345:-5,270001:12,665:0:3262196,269
346:-5,355001:12,665:0:3262196,285
347:-5,440001:12,665:0:3262196,302
348:-5,525002:12,665:0:3262196,319
349:-5,610002:12,665:0:3262196,336
350:-5,695002:12,665:0:3262196,369
351:-5,780002:12,665:0:3262196,386
352:-5,865002:12,665:0:3262196,403
353:-5,950002:12,665:0:3262196,42
354:-6,035002:12,665:0:3262196,436
355:-6,120002:12,665:0:3262196,453
356:-6,205002:12,665:0:3262196,487
357:-6,290002:12,665:0:3262196,504
358:-6,375002:12,665:0:3262196,521
359:-6,460002:12,665:0:3262196,538
360:-6,545002:12,665:0:3262196,554
361:-6,630002:12,665:0:3262196,588
362:-6,715002:12,665:0:3262196,604
363:-6,800002:12,665:0:3262196,621
364:-6,885002:12,665:0:3262196,638
365:-6,970002:12,665:0:3262196,655
366:-7,055002:12,665:0:3262196,689
367:-7,140002:12,665:0:3262196,706
368:-7,225002:12,665:0:3262196,723
369:-7,310002:12,665:0:3262196,74
370:-7,395002:12,665:0:3262196,757
371:-7,480002:12,665:0:3262196,774
372:-7,565002:12,665:0:3262196,808
373:-7,650002:12,665:0:3262196,825
374:-5,737502:12,92:270:3262196,959
375:-3,825001:13,175:270:3262196,966
376:-1,9125:13,43001:270:3262196,966
377:4,023314E-07:13,68501:270:3262196,966
378:4,023314E-07:13,77001:270:3262196,966
379:4,023314E-07:13,85501:270:3262196,966
380:4,023314E-07:13,94001:270:3262196,966
381:4,023314E-07:14,02501:270:3262196,983
382:4,023314E-07:14,11001:270:3262197
383:4,023314E-07:14,19501:270:3262197,017
384:4,023314E-07:14,28001:270:3262197,034
385:4,023314E-07:14,36501:270:3262197,068
386:4,023314E-07:14,45001:270:3262197,084
387:4,023314E-07:14,53501:270:3262197,101
388:4,023314E-07:14,62001:270:3262197,118
389:4,023314E-07:14,70501:270:3262197,134
390:4,023314E-07:14,79001:270:3262197,169
391:4,023314E-07:14,87501:270:3262197,186
392:4,023314E-07:14,96001:270:3262197,203
393:4,023314E-07:15,04501:270:3262197,22
394:4,023314E-07:15,13001:270:3262197,237
395:4,023314E-07:15,21501:270:3262197,254
396:4,023314E-07:15,30001:270:3262197,287
397:4,023314E-07:15,38501:270:3262197,304
398:4,023314E-07:15,47001:270:3262197,321
