Index:PostionX:PostionZ:RotationAngle:PhotonTime
1:0:0,08:0:2343538,527
2:0:0,16:0:2343538,553
3:0:0,24:0:2343538,553
4:0:0,32:0:2343538,587
5:0:0,4:0:2343538,604
6:0:0,48:0:2343538,621
7:0:0,56:0:2343538,638
8:0:0,64:0:2343538,655
9:0:0,72:0:2343538,672
10:0:0,8:0:2343538,706
11:0:0,88:0:2343538,723
12:0:0,96:0:2343538,74
13:0:1,04:0:2343538,756
14:0:1,12:0:2343538,773
15:0:1,2:0:2343538,807
16:0:1,28:0:2343538,824
17:0:1,36:0:2343538,841
18:0:1,44:0:2343538,858
19:0:1,52:0:2343538,875
20:0:1,6:0:2343538,908
21:0:1,68:0:2343538,925
22:0:1,76:0:2343538,941
23:0:1,84:0:2343538,958
24:0:1,92:0:2343538,975
25:0:2:0:2343538,992
26:0:2,08:0:2343539,026
27:0:2,16:0:2343539,042
28:0:2,24:0:2343539,059
29:0:2,32:0:2343539,076
30:0:2,4:0:2343539,092
31:0:2,48:0:2343539,126
32:0:2,56:0:2343539,142
33:0:2,64:0:2343539,159
34:0:2,72:0:2343539,176
35:0:2,8:0:2343539,192
36:0:2,88:0:2343539,226
37:0:2,96:0:2343539,243
38:0:3,04:0:2343539,26
39:0:3,12:0:2343539,277
40:0:3,2:0:2343539,294
41:0:3,28:0:2343539,328
42:0:3,36:0:2343539,345
43:0:3,44:0:2343539,361
44:0:3,52:0:2343539,378
45:0:3,6:0:2343539,395
46:0:3,68:0:2343539,428
47:0:3,76:0:2343539,445
48:0:3,84:0:2343539,462
49:0:3,92:0:2343539,479
50:0:4:0:2343539,496
51:0:4,08:0:2343539,513
52:0:4,16:0:2343539,547
53:0:4,24:0:2343539,564
54:0:4,32:0:2343539,586
55:0:4,4:0:2343539,597
56:0:4,48:0:2343539,614
57:0:4,56:0:2343539,648
58:0:4,64:0:2343539,665
59:0:4,72:0:2343539,682
60:0:4,8:0:2343539,699
61:0:4,88:0:2343539,716
62:0:4,96:0:2343539,732
63:0:5,04:0:2343539,766
64:0:5,12:0:2343539,782
65:0:5,2:0:2343539,799
66:0:5,28:0:2343539,816
67:0:5,36:0:2343539,832
68:0:5,44:0:2343539,866
69:0:5,52:0:2343539,882
70:0:5,6:0:2343539,899
71:0:5,68:0:2343539,916
72:0:5,76:0:2343539,933
73:0:5,84:0:2343539,967
74:0:5,92:0:2343539,984
75:0:6:0:2343540,001
76:0:6,08:0:2343540,018
77:0:6,16:0:2343540,035
78:0:6,24:0:2343540,052
79:0:6,32:0:2343540,086
80:0:6,4:0:2343540,103
81:0:6,48:0:2343540,119
82:0:6,56:0:2343540,136
83:0:6,64:0:2343540,153
84:0:6,72:0:2343540,186
85:0:6,8:0:2343540,203
86:0:6,88:0:2343540,22
87:0:6,96:0:2343540,237
88:0:7,04:0:2343540,253
89:0:7,12:0:2343540,287
90:0:7,2:0:2343540,303
91:0:7,28:0:2343540,32
92:0:7,36:0:2343540,337
93:0:7,44:0:2343540,353
94:0:7,52:0:2343540,388
95:0:7,6:0:2343540,405
96:0:7,68:0:2343540,422
97:0:7,76:0:2343540,438
98:0:7,84:0:2343540,455
99:0:7,92:0:2343540,489
100:0:8:0:2343540,505
101:0:8,08:0:2343540,522
102:0:8,16:0:2343540,539
103:0:8,24:0:2343540,555
104:0:8,32:0:2343540,572
105:0:8,4:0:2343540,606
106:0:8,48:0:2343540,622
107:0:8,559999:0:2343540,639
108:0:8,639999:0:2343540,656
109:0:8,72:0:2343540,672
110:0:8,8:0:2343540,706
111:0:8,88:0:2343540,722
112:0:8,96:0:2343540,739
113:0:9,04:0:2343540,756
114:0:9,12:0:2343540,772
115:0:9,2:0:2343540,806
116:0:9,28:0:2343540,822
117:0:9,36:0:2343540,839
118:0:9,44:0:2343540,856
119:0:9,52:0:2343540,873
120:0:9,599999:0:2343540,907
121:0:9,679999:0:2343540,924
122:0:9,76:0:2343540,94
123:0:9,84:0:2343540,957
124:0:9,92:0:2343540,974
125:0:10:0:2343541,007
126:0:10,08:0:2343541,024
127:0:10,16:0:2343541,041
128:0:10,24:0:2343541,088
129:0:10,32:0:2343541,1
130:0:10,4:0:2343541,1
131:0:10,48:0:2343541,117
132:0:10,56:0:2343541,134
133:0:10,64:0:2343541,168
134:0:10,72:0:2343541,184
135:0:10,8:0:2343541,201
136:0:10,88:0:2343541,218
137:0:10,96:0:2343541,235
138:0:11,04:0:2343541,252
139:0:11,12:0:2343541,286
140:0:11,2:0:2343541,303
141:0:11,28:0:2343541,32
142:0:11,36:0:2343541,337
143:0:11,44:0:2343541,354
144:0:11,52:0:2343541,387
145:0:11,6:0:2343541,404
146:0:11,68:0:2343541,421
147:0:11,76:0:2343541,437
148:0:11,84:0:2343541,454
149:0:11,92:0:2343541,487
150:0:12:0:2343541,504
151:-0,08000001:12:270:2343541,522
152:-0,16:12:270:2343541,538
153:-0,24:12:270:2343541,554
154:-0,32:12:270:2343541,588
155:-0,4:12:270:2343541,605
156:-0,48:12:270:2343541,621
157:-0,5600001:12:270:2343541,638
158:-0,64:12:270:2343541,655
159:-0,72:12:270:2343541,672
160:-0,8000001:12:270:2343541,705
161:-0,8800001:12:270:2343541,722
162:-0,96:12:270:2343541,739
163:-1,04:12:270:2343541,755
164:-1,12:12:270:2343541,772
165:-1,2:12:270:2343541,806
166:-1,28:12:270:2343541,823
167:-1,36:12:270:2343541,84
168:-1,44:12:270:2343541,857
169:-1,52:12:270:2343541,873
170:-1,6:12:270:2343541,907
171:-1,68:12:270:2343541,924
172:-1,76:12:270:2343541,94
173:-1,84:12:270:2343541,957
174:-1,92:12:270:2343541,974
175:-2:12:270:2343542,007
176:-2,08:12:270:2343542,024
177:-2,16:12:270:2343542,041
178:-2,24:12:270:2343542,057
179:-2,32:12:270:2343542,074
180:-2,4:12:270:2343542,108
181:-2,48:12:270:2343542,124
182:-2,56:12:270:2343542,141
183:-2,64:12:270:2343542,158
184:-2,72:12:270:2343542,174
185:-2,8:12:270:2343542,208
186:-2,88:12:270:2343542,225
187:-2,96:12:270:2343542,241
188:-3,04:12:270:2343542,258
189:-3,12:12:270:2343542,274
190:-3,2:12:270:2343542,292
191:-3,28:12:270:2343542,325
192:-3,36:12:270:2343542,342
