Index:PostionX:PostionZ:RotationAngle:PhotonTime
1:0:0:0:2343541,1
2:0:0:0:2343541,1
3:0:0:0:2343541,117
4:0:0:0:2343541,134
5:0:0:0:2343541,168
6:0:0:0:2343541,184
7:0:0:0:2343541,201
8:0:0:0:2343541,218
9:0:0:0:2343541,235
10:0:0:0:2343541,252
11:0:0:0:2343541,286
12:0:0:0:2343541,303
13:0:0:0:2343541,32
14:0:0:0:2343541,337
15:0:0:0:2343541,354
16:0:0:0:2343541,387
17:0:0:0:2343541,404
18:0:0:0:2343541,421
19:0:0:0:2343541,437
20:0:0:0:2343541,454
21:0:0:0:2343541,487
22:0:0:0:2343541,504
23:0:0:0:2343541,522
24:0:0:0:2343541,538
25:0:0:0:2343541,554
26:0:0:0:2343541,588
27:0:0:0:2343541,605
28:0:0:0:2343541,621
29:0:0:0:2343541,638
30:0:0:0:2343541,655
31:0:0:0:2343541,672
32:0:0:0:2343541,705
33:0:0:0:2343541,722
34:0:0:0:2343541,739
35:0:0:0:2343541,755
36:0:0:0:2343541,772
37:0:0:0:2343541,806
38:0:0:0:2343541,823
39:0:0:0:2343541,84
40:0:0:0:2343541,857
41:0:0:0:2343541,873
42:0:0:0:2343541,907
43:0:0:0:2343541,924
44:0:0:0:2343541,94
45:0:0:0:2343541,957
46:0:0:0:2343541,974
47:0:0:0:2343542,007
48:0:0:0:2343542,024
49:0:0:0:2343542,041
50:0:0:0:2343542,057
51:0:0:0:2343542,074
52:0:0:0:2343542,108
53:0:0:0:2343542,124
54:0:0:0:2343542,141
55:0:0:0:2343542,158
56:0:0:0:2343542,174
57:0:0:0:2343542,208
58:0:0:0:2343542,225
59:0:0:0:2343542,241
60:0:0:0:2343542,258
61:0:0:0:2343542,274
62:0:0:0:2343542,292
63:0:0:0:2343542,325
64:0:0:0:2343542,342
65:0:0:0:2343542,359
66:0:0:0:2343542,375
67:0:0:0:2343542,392
68:0:0:0:2343542,425
69:0:0:0:2343542,442
70:0:0:0:2343542,459
71:0:0:0:2343542,476
72:0:0:0:2343542,492
73:0:0:0:2343542,53
74:0:0,1455209:0:2343542,543
75:0:0,1455209:0:2343542,559
76:0:0,2910418:0:2343542,576
77:0:0,2910418:0:2343542,593
78:0:0,4365627:0:2343542,626
79:0:0,4365627:0:2343542,643
80:0:0,72:0:2343542,66
81:0:0,72:0:2343542,677
82:0:0,72:0:2343542,694
83:0:0,72:0:2343542,728
84:0:0,72:0:2343542,744
85:0:0,72:0:2343542,761
86:0:0,72:0:2343542,778
87:0:0,72:0:2343542,795
88:0:0,72:0:2343542,828
89:0:0,72:0:2343542,845
90:0:0,72:0:2343542,862
91:0:0,72:0:2343542,879
92:0:0,72:0:2343542,896
93:0:0,72:0:2343542,912
94:0:0,72:0:2343542,946
95:0:0,72:0:2343542,962
96:0:0,72:0:2343542,979
97:0:0,72:0:2343542,996
98:0:0,72:0:2343543,012
99:0:0,72:0:2343543,046
100:0:0,72:0:2343543,062
101:0:0,72:0:2343543,079
102:0:0,72:0:2343543,096
103:0:0,72:0:2343543,113
104:0:0,72:0:2343543,147
105:0:0,72:0:2343543,163
106:0:0,72:0:2343543,18
107:0:0,72:0:2343543,197
108:0:0,72:0:2343543,213
109:0:0,72:0:2343543,247
110:0:0,72:0:2343543,264
111:0:0,72:0:2343543,281
112:0:0,72:0:2343543,297
113:0:0,72:0:2343543,314
114:0:0,72:0:2343543,356
115:0:0,87:0:2343543,365
116:0:0,87:0:2343543,381
117:0:1,02:0:2343543,398
118:0:1,02:0:2343543,415
119:0:1,17:0:2343543,448
120:0:1,17:0:2343543,465
121:0:1,32:0:2343543,482
122:0:1,32:0:2343543,498
123:0:1,47:0:2343543,515
124:0:1,47:0:2343543,532
125:0:1,62:0:2343543,566
126:0:1,62:0:2343543,583
127:0:1,77:0:2343543,6
128:0:1,77:0:2343543,617
129:0:1,92:0:2343543,633
130:0:1,92:0:2343543,667
131:0:2,07:0:2343543,684
132:0:2,07:0:2343543,7
133:0:2,22:0:2343543,717
134:0:2,22:0:2343543,734
135:0:2,37:0:2343543,768
136:0:2,37:0:2343543,785
137:0:2,52:0:2343543,802
