Index:PostionX:PostionY:PostionZ:RotationAngle:PhotonTime
1:0:0:0,08:0:620694,894
2:0:0:0,16:0:620694,924
3:0:0:0,24:0:620694,941
4:0:0:0,32:0:620694,958
5:0:0:0,4:0:620694,977
6:0:0:0,48:0:620694,993
7:0:0:0,5599999:0:620695,028
8:0:0:0,6399999:0:620695,045
9:0:0:0,7199999:0:620695,061
10:0:0:0,7999999:0:620695,078
11:0:0:0,8799999:0:620695,095
12:0:0:0,9599999:0:620695,128
13:0:0:1,04:0:620695,145
14:0:0:1,12:0:620695,161
15:0:0:1,2:0:620695,179
16:0:0:1,28:0:620695,196
17:0:0:1,36:0:620695,212
18:0:0:1,44:0:620695,246
19:0:0:1,52:0:620695,262
20:0:0:1,6:0:620695,279
21:0:0:1,68:0:620695,296
22:0:0:1,76:0:620695,312
23:0:0:1,84:0:620695,346
24:0:0:1,92:0:620695,363
25:0:0:2:0:620695,379
26:0:0:2,08:0:620695,397
27:0:0:2,16:0:620695,413
28:0:0:2,24:0:620695,447
29:0:0:2,32:0:620695,464
30:0:0:2,4:0:620695,481
31:0:0:2,48:0:620695,497
32:0:0:2,56:0:620695,514
33:0:0:2,64:0:620695,531
34:0:0:2,72:0:620695,565
35:0:0:2,799999:0:620695,582
36:0:0:2,879999:0:620695,598
37:0:0:2,959999:0:620695,615
38:0:0:3,039999:0:620695,632
39:0:0:3,119999:0:620695,666
40:0:0:3,199999:0:620695,683
41:0:0:3,279999:0:620695,7
42:0:0:3,359999:0:620695,717
43:0:0:3,439999:0:620695,734
44:0:0:3,519999:0:620695,768
45:0:0:3,599999:0:620695,785
46:0:0:3,679999:0:620695,802
47:0:0:3,759999:0:620695,818
48:0:0:3,839998:0:620695,835
49:0:0:3,919998:0:620695,852
50:0:0:3,999998:0:620695,886
51:0:0:4,079998:0:620695,903
52:0:0:4,159998:0:620695,92
53:0:0:4,239998:0:620695,936
54:0:0:4,319998:0:620695,953
55:0:0:4,399998:0:620695,986
56:0:0:4,479998:0:620696,003
57:0:0:4,559998:0:620696,02
58:0:0:4,639998:0:620696,036
59:0:0:4,719998:0:620696,053
60:0:0:4,799998:0:620696,087
61:0:0:4,879998:0:620696,104
62:0:0:4,959998:0:620696,121
63:0:0:5,039998:0:620696,138
64:0:0:5,119998:0:620696,155
65:0:0:5,199997:0:620696,188
66:0:0:5,279997:0:620696,205
67:0:0:5,359997:0:620696,222
68:0:0:5,439997:0:620696,239
69:0:0:5,519997:0:620696,256
70:0:0:5,599997:0:620696,273
71:0:0:5,679997:0:620696,307
72:0:0:5,759997:0:620696,324
73:0:0:5,839997:0:620696,34
74:0:0:5,919997:0:620696,357
75:0:0:5,999997:0:620696,374
76:0:0:6,079997:0:620696,408
77:0:0:6,159997:0:620696,425
78:0:0:6,239996:0:620696,442
79:0:0:6,319996:0:620696,459
80:0:0:6,399996:0:620696,475
81:0:0:6,479996:0:620696,492
82:0:0:6,559996:0:620696,525
83:0:0:6,639996:0:620696,542
84:0:0:6,719996:0:620696,559
85:0:0:6,799996:0:620696,575
86:0:0:6,879996:0:620696,593
87:0:0:6,959996:0:620696,626
88:0:0:7,039996:0:620696,643
89:0:0:7,119996:0:620696,66
90:0:0:7,199996:0:620696,677
91:0:0:7,279995:0:620696,693
92:0:0:7,359995:0:620696,727
93:0:0:7,439995:0:620696,744
94:0:0:7,519995:0:620696,76
95:0:0:7,599995:0:620696,777
96:0:0:7,679995:0:620696,794
97:0:0:7,759995:0:620696,827
98:0:0:7,839995:0:620696,844
99:0:0:7,919995:0:620696,86
100:0:0:7,999995:0:620696,877
101:0:0:8,079995:0:620696,894
102:0:0:8,159995:0:620696,928
103:0:0:8,239995:0:620696,945
104:0:0:8,319995:0:620696,961
105:0:0:8,399995:0:620696,978
106:0:0:8,479995:0:620696,995
107:0:0:8,559995:0:620697,067
108:0:0:8,639995:0:620697,079
109:0:0:8,719995:0:620697,079
110:0:0:8,799994:0:620697,079
111:0:0:8,879994:0:620697,099
112:0:0:8,959994:0:620697,116
113:0:0:9,039994:0:620697,133
114:0:0:9,119994:0:620697,166
115:0:0:9,199994:0:620697,183
116:0:0:9,279994:0:620697,201
117:0:0:9,359994:0:620697,217
118:0:0:9,439994:0:620697,234
119:0:0:9,519994:0:620697,251
120:0:0:9,599994:0:620697,285
121:0:0:9,679994:0:620697,302
122:0:0:9,759994:0:620697,319
123:0:0:9,839993:0:620697,336
124:0:0:9,919993:0:620697,353
125:0:0:9,999993:0:620697,387
126:0:0:10,07999:0:620697,404
127:0:0:10,15999:0:620697,422
128:0:0:10,23999:0:620697,439
129:0:0:10,31999:0:620697,455
130:0:0:10,39999:0:620697,475
131:0:0:10,47999:0:620697,506
132:0:0:10,55999:0:620697,522
133:0:0:10,63999:0:620697,539
134:0:0:10,71999:0:620697,556
135:0:0:10,79999:0:620697,573
136:0:0:10,87999:0:620697,607
137:0:0:10,95999:0:620697,623
138:0:0:11,03999:0:620697,64
139:0:0:11,11999:0:620697,657
140:0:0:11,19999:0:620697,674
141:0:0:11,27999:0:620697,708
142:0:0:11,35999:0:620697,725
143:0:0:11,43999:0:620697,742
144:0:0:11,51999:0:620697,759
145:0:0:11,59999:0:620697,775
146:0:0:11,67999:0:620697,792
147:0:0:11,75999:0:620697,825
148:0:0:11,83999:0:620697,842
149:0:0:11,91999:0:620697,859
150:0:0:11,99999:0:620697,875
151:0:0:12,07999:270:620697,892
152:-0,08000001:0:12,07999:270:620697,926
153:-0,16:0:12,07999:270:620697,943
154:-0,24:0:12,07999:270:620697,96
155:-0,32:0:12,07999:270:620697,977
156:-0,4:0:12,07999:270:620697,994
157:-0,48:0:12,07999:270:620698,028
158:-0,5600001:0:12,07999:270:620698,044
159:-0,64:0:12,07999:270:620698,061
160:-0,72:0:12,07999:270:620698,078
161:-0,8:0:12,07999:270:620698,095
162:-0,88:0:12,07999:270:620698,112
163:-0,96:0:12,07999:270:620698,146
164:-1,04:0:12,07999:270:620698,163
165:-1,12:0:12,07999:270:620698,18
166:-1,2:0:12,07999:270:620698,196
167:-1,28:0:12,07999:270:620698,213
168:-1,36:0:12,07999:270:620698,247
169:-1,44:0:12,07999:270:620698,264
170:-1,52:0:12,07999:270:620698,281
171:-1,6:0:12,07999:270:620698,297
172:-1,68:0:12,07999:270:620698,314
173:-1,76:0:12,07999:270:620698,348
174:-1,84:0:12,07999:270:620698,365
175:-1,92:0:12,07999:270:620698,381
176:-2:0:12,07999:270:620698,398
177:-2,08:0:12,07999:270:620698,475
178:-2,16:0:12,07999:270:620698,485
179:-2,24:0:12,07999:270:620698,485
180:-2,32:0:12,07999:270:620698,485
181:-2,4:0:12,07999:270:620698,502
182:-2,48:0:12,07999:270:620698,519
183:-2,56:0:12,07999:270:620698,535
184:-2,64:0:12,07999:270:620698,552
185:-2,72:0:12,07999:270:620698,585
186:-2,8:0:12,07999:270:620698,603
187:-2,88:0:12,07999:270:620698,62
188:-2,96:0:12,07999:270:620698,637
189:-3,039999:0:12,07999:270:620698,654
190:-3,119999:0:12,07999:270:620698,687
191:-3,199999:0:12,07999:270:620698,704
192:-3,279999:0:12,07999:270:620698,721
193:-3,359999:0:12,07999:270:620698,737
194:-3,439999:0:12,07999:270:620698,754
195:-3,519999:0:12,07999:270:620698,787
196:-3,599999:0:12,07999:270:620698,804
197:-3,679999:0:12,07999:270:620698,823
198:-3,759999:0:12,07999:270:620698,84
199:-3,839999:0:12,07999:270:620698,856
200:-3,919999:0:12,07999:270:620698,873
201:-3,839999:0:12,07999:270:620698,907
202:-3,759999:0:12,07999:270:620698,924
203:-3,679999:0:12,07999:270:620698,94
204:-3,599999:0:12,07999:270:620698,957
205:-3,519999:0:12,07999:270:620698,974
206:-3,439999:0:12,07999:270:620699,007
207:-3,359999:0:12,07999:270:620699,024
208:-3,279999:0:12,07999:270:620699,041
209:-3,199999:0:12,07999:270:620699,058
210:-3,119999:0:12,07999:270:620699,075
211:-3,039999:0:12,07999:270:620699,092
212:-2,96:0:12,07999:270:620699,125
213:-2,88:0:12,07999:270:620699,142
214:-2,8:0:12,07999:270:620699,159
215:-2,72:0:12,07999:270:620699,175
216:-2,64:0:12,07999:270:620699,192
217:-2,56:0:12,07999:270:620699,226
218:-2,48:0:12,07999:270:620699,242
219:-2,4:0:12,07999:270:620699,26
220:-2,32:0:12,07999:270:620699,276
221:-2,24:0:12,07999:270:620699,293
222:-2,16:0:12,07999:270:620699,327
223:-2,08:0:12,07999:270:620699,343
